date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:53	124834/124834	---M--	200	added ('OK')	image/jpeg	etag:%22f917235b454dd51:0%22	https://www.mudes.org.br/ImagensHomePage/imagem1.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensHomePage/imagem1.jpg	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:54	107716/107716	---M--	200	added ('OK')	image/jpeg	etag:%2293b8305b454dd51:0%22	https://www.mudes.org.br/ImagensHomePage/imagem3.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensHomePage/imagem3.jpg	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:54	1146437/1146437	---M--	200	added ('OK')	image/jpeg	etag:%22ae62495b454dd51:0%22	https://www.mudes.org.br/ImagensInstitucional/armazem.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensInstitucional/armazem.jpg	(from https://www.mudes.org.br/Institucional/Armazem_Social_Saber)
13:57:54	107053/107053	---M--	200	added ('OK')	image/jpeg	etag:%229691305b454dd51:0%22	https://www.mudes.org.br/ImagensHomePage/imagem2.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensHomePage/imagem2.jpg	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:54	125821/125821	---M--	200	added ('OK')	image/jpeg	etag:%2228c325b454dd51:0%22	https://www.mudes.org.br/ImagensHomePage/imagem4.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensHomePage/imagem4.jpg	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:55	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22c786775a454dd51:0%22	https://www.mudes.org.br/fonts/fontawesome-webfont.eot?v=4.0.3	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/fonts/fontawesome-webfontba72.eot	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:55	84459/84459	---M--	200	added ('OK')	image/jpeg	etag:%22f7b2325b454dd51:0%22	https://www.mudes.org.br/ImagensHomePage/imagem5.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensHomePage/imagem5.jpg	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:55	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22c786775a454dd51:0%22	https://www.mudes.org.br/fonts/fontawesome-webfont.eot?	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/fonts/fontawesome-webfontd41d.eot	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:55	114419/114419	---M--	200	added ('OK')	image/jpeg	etag:%22f4ca385b454dd51:0%22	https://www.mudes.org.br/ImagensHomePage/imagem6.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensHomePage/imagem6.jpg	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:56	44432/44432	---M--	200	added ('OK')	font/x-woff	etag:%223033795a454dd51:0%22	https://www.mudes.org.br/fonts/fontawesome-webfont.woff?v=4.0.3	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/fonts/fontawesome-webfontba72.woff	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
